사이트분류,대분류,중분류,소분류,주요 기능 및 설명,비고
사용자페이지(index.html / app.js),공통 기능,로그인 및 인증,포털 일반 로그인,"사전에 등록된 회원 정보를 기반으로 한 포털 로그인 처리. 단일 고객사 소속 회원은 즉시 이동",
사용자페이지(index.html / app.js),공통 기능,로그인 및 인증,SSO 로그인 연동,"제휴사 홈페이지를 통한 SSO(Single Sign-On) 자동 로그인 연동",교보생명/다솜케어 연동
사용자페이지(index.html / app.js),공통 기능,권한 및 라우팅,멀티 사이트 브릿지 뷰,"다중 사이트 권한 소유자의 접속 전 사이트 선택 브릿지 카드 UI 및 스위처 제공",
사용자페이지(index.html / app.js),공통 기능,권한 및 라우팅,3-Depth 동적 메뉴 렌더링,"사용자 등급(Tier)과 3단계 메뉴 트리를 매칭하여 권한 내 메뉴만 GNB/메가메뉴/사이드바 렌더링",URL 인코딩 디코드 처리 포함
사용자페이지(index.html / app.js),건강상담,전화 상담 및 문의,맞춤형 신청 가이드,"상담 유형(전화/온라인)에 따른 실시간 가이드 문구 및 입력 폼 동적 전환",
사용자페이지(index.html / app.js),건강상담,상담 이력 관리,아코디언 이력 리스트,"상담 상태 배지(접수/완료) 및 질문/답변의 직관적 아코디언 상세 보기 제공",
사용자페이지(index.html / app.js),병원안내,병원검색,다차원 검색 매트릭스 필터,"진료과목, 특정 분야, 병원 종별 다중 체크박스 필터링 및 주소/도로명 지역 검색 제공",
사용자페이지(index.html / app.js),병원안내,병원검색,인터랙티브 맵 UI,"거리 기반 병원 리스트 제공 및 고급 인터랙티브 HTML 지도 뷰 모듈 연동",
사용자페이지(index.html / app.js),병원안내,분야별 명의안내,명의 검색 및 추천,"질환별 명의 매칭 프로세스를 시각화한 프리미엄 4단계 안내 레이아웃 제공",
사용자페이지(index.html / app.js),진료예약,진료 예약 대행,상급종합병원 예약,"상급병원 진료 예약 지원 가이드 및 하단 상담신청 폼 직접 연동",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,프리미엄 랜딩 페이지,"우대 예약 전용 고품질 히어로 배너 및 검색/안내 컴포넌트 동적 렌더링",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,위치정보 수집 커스텀 모달,"내 주변 검색 클릭 시 고급 커스텀 모달 창을 통해 위치정보 제공 동의/거부 프로세스 및 로그 적재 처리",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,다차원 복합 검색 필터,"지역/상세 외에 달력 연동 희망일자 및 다중 선택 가능한 희망검사(태그 UI) 필터 제공",추후 사무포털 마감일정 및 패키지 연동 예정
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,가독성 높은 병원 리스트 카드,"불필요한 뱃지 제거 및 긴급/특이사항(마감일 등) 정보 노출 전용 영역이 최적화된 카드 UI 제공",
사용자페이지(index.html / app.js),서비스 안내,내가 가입한 서비스,(등급명) 및 혜택 조회,"회원 등급에 따른 서비스 이용 권한 및 혜택 조회 기능",
사용자페이지(index.html / app.js),서비스 안내,전체 서비스 카탈로그,서비스 카탈로그,"포털에서 제공하는 전체 프리미엄 서비스 목록 안내",
사용자페이지(index.html / app.js),건강정보,분야별 건강정보,콘텐츠 제공,"카테고리별 최신 건강 트렌드 및 상식 콘텐츠 노출",
사용자페이지(index.html / app.js),심리케어,마음 힐링 케어,비대면 심리 상담,"전문 심리상담사와의 1:1 전화 및 온라인 화상 상담 지원",
관리자페이지(admin.html / admin.js),공통 기능,대시보드,종합 현황 관리,"고객사, 메뉴, 권한 등을 아우르는 어드민 최상위 메인 뷰",
관리자페이지(admin.html / admin.js),공통 기능,위치정보 동의 로그,로그 모니터링 테이블,"사용자 포털에서 수집된 10가지(IP, 접속기기 등) 위치정보 동의/거부 이력 실시간 조회 테이블 제공",
